Genus,L10,S10,SL10,W10,feature_frequency
g__RS62_marine_group,1.0,1.0,1.0,1.0,58292.95251772061
g__Reichenbachiella,0.0,1.0,1.0,0.0,27.66657765581001
g__Reinekea,0.0,1.0,1.0,1.0,114.25995275098605
g__Reyranella,1.0,1.0,1.0,0.0,712.9641036486388
g__Rhizobacter,1.0,0.0,1.0,0.0,47.50322141560798
g__Rhodococcus,1.0,1.0,1.0,1.0,246.29923298046737
g__Rhodoferax,1.0,1.0,1.0,1.0,11442.44620278767
g__Rhodopirellula,1.0,1.0,1.0,1.0,1079.5294606856955
g__Rhodovastum,1.0,1.0,1.0,0.0,23.84250224546311
g__Rickettsiella,1.0,0.0,1.0,0.0,161.20574192218115
g__Rikenellaceae_RC9_gut_group,0.0,1.0,1.0,1.0,17.556736145627077
g__Rivicola,1.0,1.0,1.0,1.0,849.6144150849285
g__Robiginitalea,1.0,0.0,1.0,1.0,62.16628495406034
g__Rokubacteriales,0.0,1.0,1.0,0.0,6.0
g__Romboutsia,1.0,1.0,1.0,0.0,52.657262902897905
g__Roseburia,0.0,1.0,1.0,0.0,126.56146477883227
g__Roseibacillus,1.0,1.0,1.0,1.0,5601.005309875019
g__Roseimarinus,1.0,1.0,1.0,0.0,32.03446562247205
g__Roseobacter_clade_NAC11-7_lineage,1.0,1.0,1.0,1.0,23967.717901365093
g__Roseococcus,1.0,1.0,1.0,1.0,257.5791826128334
g__Roseomonas,1.0,0.0,1.0,1.0,17.43377355229886
g__Roseovarius,1.0,0.0,1.0,0.0,23.70943701950149
g__Rs-M47,0.0,1.0,1.0,0.0,18.830160150908647
g__Rubidimonas,1.0,1.0,1.0,1.0,314.24074275862813
g__Rubinisphaera,1.0,1.0,1.0,0.0,947.3610503320273
g__Rubripirellula,1.0,1.0,1.0,1.0,12634.155976260417
g__Rubritalea,1.0,0.0,1.0,0.0,31.22199479304387
g__Rubrivirga,0.0,1.0,1.0,1.0,98.80125002752685
g__Ruminococcus,1.0,1.0,1.0,1.0,135.92880014306553
g__S15A-MN91,1.0,0.0,1.0,0.0,5.025378687217645
g__S25-593,0.0,1.0,1.0,1.0,370.4727928817177
g__SAR116_clade,1.0,1.0,1.0,1.0,46980.80008670303
g__SAR202_clade,0.0,1.0,1.0,1.0,4780.7605445278
g__SAR324_clade(Marine_group_B),1.0,1.0,1.0,1.0,50393.04285937845
g__SAR86_clade,1.0,1.0,1.0,1.0,76471.75132562738
g__SAR92_clade,1.0,1.0,1.0,1.0,55481.42379536675
g__SB-5,1.0,0.0,1.0,0.0,15.43667312899259
g__SBR1031,1.0,0.0,1.0,0.0,2.624561403508772
g__SCGC_AAA011-D5,1.0,1.0,1.0,1.0,401.4594509194512
g__SCGC_AAA164-E04,1.0,1.0,1.0,1.0,5048.975978458256
g__SEEP-SRB1,1.0,0.0,1.0,1.0,301.47199979778003
g__SG8-4,1.0,0.0,1.0,1.0,151.87907434375956
g__SH-PL14,1.0,0.0,1.0,0.0,22.522202025222004
g__SM1A02,1.0,0.0,1.0,1.0,60.512822031426374
g__SM23-30,0.0,1.0,1.0,0.0,6.879457037085146
g__SM2D12,1.0,0.0,1.0,1.0,14.152327005511328
g__SS1-B-02-17,1.0,0.0,1.0,1.0,15.544889507079674
g__SS1-B-07-19,0.0,1.0,1.0,1.0,6350.60156067786
g__SUP05_cluster,1.0,1.0,1.0,1.0,563991.969895653
g__SWB02,0.0,1.0,1.0,0.0,3.0
g__Saccharimonadales,1.0,1.0,1.0,1.0,591.2851473552012
g__Saccharospirillaceae,0.0,1.0,1.0,1.0,781.5239529497189
g__Salegentibacter,1.0,0.0,1.0,0.0,12.919384236453201
g__Salinirepens,1.0,1.0,1.0,1.0,626.0757869844177
g__Salinisphaera,1.0,1.0,1.0,1.0,15006.460686664397
g__Sediminibacterium,1.0,1.0,1.0,1.0,3322.8334445916107
g__Sediminispirochaeta,1.0,0.0,1.0,0.0,25.824899805403767
g__Selenomonas,0.0,1.0,1.0,0.0,8.5200776235259
g__Shewanella,1.0,1.0,1.0,1.0,884.8630707853913
g__Simplicispira,0.0,1.0,1.0,1.0,131.04357942953303
g__Singulisphaera,0.0,1.0,1.0,0.0,6.166666666666667
g__Sinobacterium,0.0,1.0,1.0,0.0,55.772286239306844
g__Smithella,1.0,0.0,1.0,0.0,53.48770659637233
g__Sneathiella,1.0,0.0,1.0,0.0,34.2290696724659
g__Sphaerochaeta,1.0,1.0,1.0,0.0,418.38923375602155
g__Sphaerotilus,1.0,0.0,1.0,1.0,200.07304786848357
g__Sphingoaurantiacus,1.0,0.0,1.0,0.0,5.23943661971831
g__Sphingobium,1.0,1.0,1.0,1.0,267.23533719096866
g__Sphingomonas,1.0,1.0,1.0,1.0,1872.2161864503937
g__Sphingopyxis,1.0,1.0,1.0,1.0,2391.8941254523547
g__Sphingorhabdus,1.0,1.0,1.0,1.0,215.90543242500598
g__Spirochaeta,1.0,0.0,1.0,0.0,3.0
g__Spirochaeta_2,1.0,1.0,1.0,1.0,173.59983660170641
g__Spirosoma,1.0,0.0,1.0,0.0,6.502096548758198
g__Spongiibacter,1.0,1.0,1.0,1.0,492.42334980378484
g__Staphylococcus,0.0,0.0,0.0,1.0,29.224840559358725
g__Stappiaceae,0.0,0.0,0.0,1.0,62.36299045781804
g__Stenotrophomonas,1.0,1.0,1.0,1.0,3518.1910893863724
g__Streptococcus,1.0,1.0,1.0,1.0,98.37902413796745
g__Subdoligranulum,1.0,1.0,1.0,1.0,539.5144492336498
g__Subgroup_10,1.0,0.0,1.0,0.0,64.34376251103292
g__Subgroup_17,1.0,0.0,1.0,0.0,23.31279303278377
g__Subgroup_2,0.0,1.0,1.0,1.0,92.70173756090819
g__Subgroup_22,1.0,1.0,1.0,1.0,103.10265704976261
g__Subgroup_23,1.0,0.0,1.0,1.0,238.692965972995
g__Subgroup_26,1.0,0.0,1.0,0.0,17.724111047004026
g__Subgroup_5,0.0,0.0,0.0,1.0,11.486725663716815
g__Sulfitobacter,1.0,1.0,1.0,1.0,258970.66080669244
g__Sulfurimonas,1.0,1.0,1.0,0.0,180.52578623842362
g__Sulfurovum,1.0,0.0,1.0,0.0,26.887887216237978
g__Sumerlaea,1.0,0.0,1.0,0.0,16.41747572815534
g__Sva0081_sediment_group,1.0,0.0,1.0,0.0,89.38522182999878
g__Sva0485,1.0,0.0,1.0,0.0,20.70612372185714
g__Sva0996_marine_group,1.0,1.0,1.0,1.0,5273.4614237323385
g__Sva1033,0.0,1.0,1.0,1.0,97.25479043600814
g__Synechococcus_CC9902,1.0,1.0,1.0,1.0,4071.404534865993
g__Syntrophorhabdus,0.0,1.0,1.0,0.0,8.982113179910424
g__T34,1.0,0.0,1.0,0.0,135.77618737705137
g__TRA3-20,0.0,1.0,1.0,0.0,230.3740758082276
g__Taeseokella,1.0,1.0,1.0,1.0,4459.466645711599
g__Tateyamaria,1.0,0.0,1.0,0.0,352.61242029953985
g__Telmatospirillum,0.0,1.0,1.0,0.0,5.081896551724138
g__Terrimonas,1.0,0.0,1.0,0.0,21.73196284960052
g__Thalassolituus,0.0,1.0,1.0,0.0,78.19917208752217
g__Thalassospira,1.0,1.0,1.0,1.0,4695.61795328141
g__Thalassotalea,1.0,0.0,1.0,0.0,13.363437195715676
g__Thermomonas,0.0,0.0,0.0,1.0,73.3202111841129
g__Thermovirga,1.0,0.0,1.0,0.0,145.95288903926593
g__Thioflexothrix,1.0,0.0,1.0,0.0,6.549295774647887
g__Thiohalophilus,0.0,1.0,1.0,0.0,8.081896551724139
g__Thiomicrorhabdus,0.0,1.0,1.0,1.0,17.513779640994613
g__Tolumonas,1.0,1.0,1.0,1.0,415.14349918634434
g__Trichococcus,1.0,1.0,1.0,1.0,223.63427773267927
g__Truepera,1.0,0.0,1.0,0.0,21.935237195185167
g__Turicibacter,1.0,0.0,1.0,0.0,6.425373134328359
g__UBA10353_marine_group,1.0,1.0,1.0,1.0,293.9488367883541
g__UBA12409,0.0,1.0,1.0,1.0,215.90920052738534
g__UCG-002,1.0,1.0,1.0,1.0,644.4740920165722
g__UCG-003,0.0,1.0,1.0,0.0,98.42812704084731
g__UCG-005,1.0,1.0,1.0,1.0,106.58418071006297
g__Ulvibacter,1.0,1.0,1.0,1.0,146260.29362168614
g__Undibacterium,0.0,1.0,1.0,1.0,228.08077990045567
g__Unknown_Family,1.0,1.0,1.0,0.0,692.4544585436636
g__Uruburuella,1.0,0.0,1.0,1.0,78.2331033578261
g__Variovorax,1.0,1.0,1.0,1.0,300.7239683815932
g__Veillonella,0.0,0.0,0.0,1.0,16.367448935245545
g__Vermiphilaceae,1.0,1.0,1.0,0.0,35.57772075964394
g__Verruc-01,1.0,0.0,1.0,1.0,16.92714592274678
g__Vibrio,1.0,1.0,1.0,1.0,89.33089986506833
g__Vicingus,1.0,1.0,1.0,1.0,19408.33237645007
g__Vitellibacter,1.0,0.0,1.0,1.0,97.67606326741006
g__W27,1.0,1.0,1.0,1.0,933.9251801951522
g__W5,1.0,0.0,1.0,1.0,317.2545830751988
g__WCHB1-32,1.0,0.0,1.0,0.0,15.64571204547682
g__WCHB1-41,1.0,0.0,1.0,1.0,18.263623271387548
g__WD2101_soil_group,1.0,0.0,1.0,1.0,19.21403444724431
g__WPS-2,1.0,1.0,1.0,1.0,924.6397133488829
g__Wenyingzhuangia,1.0,0.0,1.0,0.0,9.560372340425532
g__Woesearchaeales,1.0,1.0,1.0,1.0,948.0481039627687
g__Woeseia,1.0,1.0,1.0,1.0,5406.2970227375845
g__Yoonia-Loktanella,1.0,1.0,1.0,1.0,71582.49871098096
g__Zavarzinella,1.0,0.0,1.0,0.0,10.817881241565452
g__Zeaxanthinibacter,1.0,0.0,1.0,0.0,21.802593659942364
g__Zhongshania,1.0,1.0,1.0,0.0,164.09042312463035
g__Zoogloea,1.0,1.0,1.0,1.0,2773.7162154094353
g__[Agitococcus]_lubricus_group,0.0,1.0,1.0,0.0,173.56470822090512
g__[Caedibacter]_taeniospiralis_group,0.0,1.0,1.0,0.0,19.221522251694665
g__[Eubacterium]_coprostanoligenes_group,1.0,0.0,1.0,0.0,78.58454488768615
g__[Eubacterium]_eligens_group,0.0,1.0,1.0,0.0,49.66412345582148
g__[Eubacterium]_siraeum_group,1.0,0.0,1.0,1.0,23.273006134969325
g__[Ruminococcus]_torques_group,1.0,1.0,1.0,0.0,58.49418219128036
g__alphaI_cluster,0.0,1.0,1.0,1.0,683.2105765730926
g__endosymbionts,1.0,1.0,1.0,1.0,1108.9971463234538
g__env.OPS_17,1.0,1.0,1.0,1.0,630.802423802105
g__hgcI_clade,1.0,1.0,1.0,1.0,2268.6773472981367
g__koll11,0.0,1.0,1.0,1.0,79.9322005197748
g__uncultured,1.0,1.0,1.0,1.0,947881.5512174946
g__vadinHA49,1.0,1.0,1.0,1.0,82.07490085531533
